strategy,condition,label,category,n,baseline_recall,masked_recall,recall_drop,ci_low,ci_high,true_probability_drop
linear,N10,3,Mitochondrion,302,0.8145695364238411,0.7185430463576159,0.09602649006622517,0.059602649006622516,0.13245033112582782,0.10237335060439595
linear,N10,4,Cell membrane,273,0.7582417582417582,0.7472527472527473,0.01098901098901099,0.0,0.02197802197802198,0.010794993148865032
linear,N10,5,Endoplasmic reticulum,173,0.4797687861271676,0.49710982658959535,-0.017341040462427744,-0.05202312138728324,0.011705202312138596,-0.014811390618252603
linear,N10,6,Chloroplast,152,0.8947368421052632,0.7763157894736842,0.11842105263157894,0.06578947368421052,0.17763157894736842,0.13922537404188604
linear,N10,7,Golgi apparatus,70,0.18571428571428572,0.15714285714285714,0.02857142857142857,0.0,0.07178571428571395,0.017479120913674942
linear,N10,8,Lysosome/Vacuole,64,0.078125,0.09375,-0.015625,-0.046875,0.0,-0.006714163458608393
linear,N10,9,Peroxisome,30,0.1,0.03333333333333333,0.06666666666666667,0.0,0.16666666666666666,0.028607335298018243
linear,C10,0,Nucleus,808,0.9108910891089109,0.9170792079207921,-0.006188118811881188,-0.014882425742574255,0.0024752475247524753,-0.007992550628185484
linear,C10,1,Cytoplasm,508,0.5551181102362205,0.484251968503937,0.07086614173228346,0.047244094488188976,0.09645669291338582,0.04416782272704939
linear,C10,2,Extracellular,393,0.9618320610687023,0.9541984732824428,0.007633587786259542,-0.005089058524173028,0.020356234096692113,0.014871354469847003
linear,C10,3,Mitochondrion,302,0.8145695364238411,0.8013245033112583,0.013245033112582781,-0.009933774834437087,0.033195364238410525,-0.0018817591044946946
linear,C10,4,Cell membrane,273,0.7582417582417582,0.7472527472527473,0.01098901098901099,-0.007326007326007326,0.029395604395604312,0.008648345331913396
linear,C10,5,Endoplasmic reticulum,173,0.4797687861271676,0.49710982658959535,-0.017341040462427744,-0.046242774566473986,0.011560693641618497,-0.01875836334306482
linear,C10,6,Chloroplast,152,0.8947368421052632,0.8552631578947368,0.039473684210526314,0.006578947368421052,0.07236842105263158,0.012956205298884308
linear,C10,7,Golgi apparatus,70,0.18571428571428572,0.15714285714285714,0.02857142857142857,0.0,0.08571428571428572,0.022564931310166857
linear,C10,8,Lysosome/Vacuole,64,0.078125,0.09375,-0.015625,-0.046875,0.0,0.0005956422735299575
linear,C10,9,Peroxisome,30,0.1,0.06666666666666667,0.03333333333333333,0.0,0.1,0.027802262341956253
linear,internal10,0,Nucleus,808,0.9108910891089109,0.926980198019802,-0.01608910891089109,-0.027227722772277228,-0.006188118811881188,-0.021776418813421926
linear,internal10,1,Cytoplasm,508,0.5551181102362205,0.4448818897637795,0.11023622047244094,0.08267716535433071,0.13976377952755906,0.06902538820962338
linear,internal10,2,Extracellular,393,0.9618320610687023,0.9465648854961832,0.015267175572519083,0.0,0.03307888040712468,-0.0025023338254626724
linear,internal10,3,Mitochondrion,302,0.8145695364238411,0.804635761589404,0.009933774834437087,-0.009933774834437087,0.033112582781456956,0.012731431411112517
linear,internal10,4,Cell membrane,273,0.7582417582417582,0.7582417582417582,0.0,-0.01098901098901099,0.01098901098901099,0.004964449059166116
linear,internal10,5,Endoplasmic reticulum,173,0.4797687861271676,0.4797687861271676,0.0,-0.03468208092485549,0.03468208092485549,-0.01804875426665195
linear,internal10,6,Chloroplast,152,0.8947368421052632,0.8421052631578947,0.05263157894736842,0.006578947368421052,0.09868421052631579,0.02355755879361118
linear,internal10,7,Golgi apparatus,70,0.18571428571428572,0.12857142857142856,0.05714285714285714,0.014285714285714285,0.11428571428571428,0.041780370064763685
linear,internal10,8,Lysosome/Vacuole,64,0.078125,0.078125,0.0,0.0,0.0,0.014412894434096666
linear,internal10,9,Peroxisome,30,0.1,0.06666666666666667,0.03333333333333333,0.0,0.1,0.028688914815691753
lora,N10,0,Nucleus,808,0.8613861386138614,0.8638613861386139,-0.0024752475247524753,-0.018564356435643563,0.013644801980197992,0.0012430253635533556
lora,N10,1,Cytoplasm,508,0.6850393700787402,0.6614173228346457,0.023622047244094488,-0.00984251968503937,0.05708661417322835,0.050685735929740426
lora,N10,2,Extracellular,393,0.910941475826972,0.8396946564885496,0.07124681933842239,0.04580152671755725,0.10178117048346055,0.10044801853778153
lora,N10,3,Mitochondrion,302,0.8377483443708609,0.7086092715231788,0.1291390728476821,0.09271523178807947,0.17218543046357615,0.1500556608568397
lora,N10,4,Cell membrane,273,0.7655677655677655,0.7765567765567766,-0.01098901098901099,-0.0477106227106227,0.02564102564102564,0.012991326585053375
lora,N10,5,Endoplasmic reticulum,173,0.6011560693641619,0.5606936416184971,0.04046242774566474,-0.011560693641618497,0.09248554913294797,0.02974895954439254
