strategy,group,n,accuracy,macro_f1,ece,nll,brier
lora,class_Mitochondrion,302,0.8377483443708609,0.09117117117117117,0.1038542157472256,0.7061547004631881,0.24688636635097888
lora,class_Cell membrane,273,0.7655677655677655,0.08672199170124481,0.12942761246650644,1.1044299125598869,0.36179537313874777
lora,class_Endoplasmic reticulum,173,0.6011560693641619,0.07509025270758123,0.2311712923637257,1.8598357920565827,0.6544823670484702
lora,class_Chloroplast,152,0.9210526315789473,0.0958904109589041,0.09029683814758094,0.5254888515409601,0.1557185303671292
lora,class_Golgi apparatus,70,0.34285714285714286,0.05106382978723404,0.45848851337902163,3.1856655266708387,1.04800400185817
lora,class_Lysosome/Vacuole,64,0.046875,0.008955223880597014,0.7124974994494924,3.3281894994980137,1.4340785420636268
lora,class_Peroxisome,30,0.1,0.01818181818181818,0.7437982504007581,4.101435358947041,1.498757717429519
lora,terminal_X_mask_10_each,2773,0.7104219257122251,0.5474503935178388,0.13445385151965505,1.194176971151607,0.4522094830503892
full,length_0_128,227,0.8414096916299559,0.5210706644771264,0.1176317501028693,0.8227373021252683,0.2840015049595136
full,length_129_512,1478,0.8017591339648173,0.6994962918311172,0.14279566194435853,0.9285883424021648,0.3391977867107964
full,length_513_plus,1068,0.7705992509363296,0.6449536703689609,0.17422176362956457,1.1193888170717596,0.40188313764076367
full,membrane_M,743,0.7039030955585465,0.5009439165890154,0.2003638775468316,1.3279494931038862,0.4927328821702374
full,membrane_S,1006,0.8031809145129225,0.41448218240146445,0.1503061616461899,1.0120371747423742,0.35153806066737486
full,membrane_U,1024,0.84765625,0.3933332367620401,0.12198562287182003,0.7323694561703699,0.2688144930672235
full,class_Nucleus,808,0.8712871287128713,0.09312169312169312,0.10034782230161501,0.5604234733045845,0.21926510682565425
full,class_Cytoplasm,508,0.7007874015748031,0.0824074074074074,0.24182848446800997,1.541368353467199,0.5391833486937815
full,class_Extracellular,393,0.9236641221374046,0.09603174603174604,0.04650048610860518,0.36159472046080476,0.1281011069258938
full,class_Mitochondrion,302,0.8344370860927153,0.09097472924187726,0.122668537308031,0.8155524425130174,0.2978780200263249
full,class_Cell membrane,273,0.7655677655677655,0.08672199170124481,0.14776110020431263,1.0427927551694456,0.38155053732899163
full,class_Endoplasmic reticulum,173,0.6589595375722543,0.0794425087108014,0.2577519572939265,1.6288788247922315,0.6010460729817972
full,class_Chloroplast,152,0.9473684210526315,0.0972972972972973,0.030811213173174375,0.3365021656672905,0.09469957968586967
full,class_Golgi apparatus,70,0.35714285714285715,0.05263157894736842,0.5159819741801053,3.2458112171445315,1.1037355926891241
full,class_Lysosome/Vacuole,64,0.328125,0.049411764705882356,0.530040560901241,3.029427816328117,1.1436752353371489
full,class_Peroxisome,30,0.36666666666666664,0.05365853658536586,0.4567261099644055,3.058812934571539,1.0214768961524074
full,terminal_X_mask_10_each,2773,0.7324197619906239,0.6032055160256642,0.20838154231857192,1.3198787490652641,0.47198956459645686
